Id,Symbol,Market,SecurityNameTh,SecurityName
281,KASET,mai,บริษัท ไทยฮา จำกัด (มหาชน),THAI HA PUBLIC COMPANY LIMITED
282,KBANK,SET,ธนาคารกสิกรไทย จำกัด (มหาชน),KASIKORNBANK PUBLIC COMPANY LIMITED
283,KBS,SET,บริษัท น้ำตาลครบุรี จำกัด (มหาชน),KHONBURI SUGAR PUBLIC COMPANY LIMITED
284,KC,SET,บริษัท เค.ซี. พร็อพเพอร์ตี้ จำกัด (มหาชน),K.C. PROPERTY PUBLIC COMPANY LIMITED
285,KCAR,SET,บริษัท กรุงไทยคาร์เร้นท์ แอนด์ ลีส จำกัด (มหาชน),KRUNGTHAI CAR RENT AND LEASE PUBLIC COMPANY LIMITED
286,KCE,SET,บริษัท เคซีอี อีเลคโทรนิคส์ จำกัด (มหาชน),KCE ELECTRONICS PUBLIC COMPANY LIMITED
287,KCM,mai,บริษัท เค.ซี.เมททอลชีท จำกัด (มหาชน),K.C. METALSHEET PUBLIC COMPANY LIMITED
288,KDH,SET,บริษัท ธนบุรี เมดิเคิล เซ็นเตอร์ จำกัด (มหาชน),THONBURI MEDICAL CENTRE PUBLIC COMPANY LIMITED
289,KGI,SET,บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน),KGI SECURITIES (THAILAND) PUBLIC COMPANY LIMITED
290,KIAT,mai,บริษัท เกียรติธนา ขนส่ง จำกัด (มหาชน),KIATTANA TRANSPORT PUBLIC COMPANY LIMITED
291,KKC,SET,บริษัท กุลธรเคอร์บี้ จำกัด (มหาชน),KULTHORN KIRBY PUBLIC COMPANY LIMITED
292,KKP,SET,ธนาคารเกียรตินาคิน จำกัด (มหาชน),KIATNAKIN BANK PUBLIC COMPANY LIMITED
